# Mac vs iOS/iPadOS feature parity
# Source worktree: wt_feat-mac-app-PRz1_RnV  branch feat/mac-app  audited production HEAD b4057be5
# Audited: 2026-08-29  (production code + same-model review; no running-app or visual approval)
# ios/ipados/mac: full | partial | stub | missing | n/a
# gap: none | mac-behind | ios-behind | different-by-design | planned | wont-fix
# share: OppiCore | paint-per-platform | mac-host-only | ios-device-only
# wont-fix means the current Mac-native baseline remains and the named iOS-depth behavior is an explicit non-goal.
area,feature,ios,ipados,mac,gap,share,notes
shell,App shell / navigation,full,full,full,none,paint-per-platform,"Mac NavigationSplitView wires Home, Agents, Schedules, Skills, Extensions, Workspaces, and Settings to live list/detail surfaces."
shell,Global sessions inbox,full,full,full,none,OppiCore,Shared SessionRowPresentation + grouping (Your Turn / Working / stopped-by-day). Mac paints SwiftUI rows; iOS/iPad use SessionRow.
shell,Session identity badges,full,full,full,none,OppiCore,Shared SessionGridRenderer π-grid on both. Mac no longer uses emoji/SF Symbol for default identity.
shell,Unread completion dots,full,full,stub,wont-fix,OppiCore,Mac can paint a shared completion date but has no unread producer. A Mac unread store is an explicit non-goal.
shell,Session search,full,full,full,none,OppiCore,Shared SessionSearchStore + SessionListSearchPresentation. Mac Home uses server FTS plus local fuzzy match; workspace catalog search stays a name filter.
shell,Worktree indicator on rows,full,full,full,none,OppiCore,"Rows show worktree identity. The workspace picker scopes session fetch/create/import, files, Git, media, and viewer routes to the selected worktree."
shell,Runtime activity strip,n/a,n/a,full,none,paint-per-platform,Mac-only caption strip for live sessions. iOS folds this into inbox sections.
shell,What's New / onboarding tips,full,full,missing,wont-fix,ios-device-only,Mac keeps host first-run server/TCC onboarding. iOS product What's New and feature-education surfaces are not a Mac finish-line goal.
shell,Deeplinks / oppi://session,full,full,full,none,paint-per-platform,The Mac scene accepts oppi://session/<id>; known sessions open directly while uncached sessions are fetched over the owner socket. Cold-start links retry after server readiness; attention-banner taps use the same route.
shell,Menu bar extra,n/a,n/a,partial,none,mac-host-only,"Mac MenuBarExtra + popover (open/quit, server status). StatsTabView is live in Settings; SessionsTabView is not in the menu-bar scene."
shell,Multi-window session viewers,n/a,n/a,missing,wont-fix,paint-per-platform,The production document surface is the wide side column beside the timeline with system fullscreen escalation. A detached WindowGroup-first viewer is an explicit non-goal.
host,Pair as remote client (scan QR),full,full,n/a,different-by-design,ios-device-only,iOS/iPad onboard by pairing to a server. Mac is the host.
host,Pair as host (show QR / nearby),n/a,n/a,full,none,mac-host-only,Mac PairView + nearby advertiser under App Settings.
host,Local server lifecycle,n/a,n/a,full,none,mac-host-only,"Mac owns Node/CLI process, auto-start, health. iOS never runs the server."
host,Owner Unix-socket auth (sk_ only on socket),n/a,n/a,full,none,mac-host-only,Architecture rule. iOS uses paired HTTPS/WSS + token.
host,TCC permissions pane,n/a,n/a,full,none,mac-host-only,Notifications/mic/screen etc. for local server + tools.
host,Doctor / logs,n/a,n/a,full,none,mac-host-only,Mac Settings panes. iOS has no host doctor.
host,Remote servers as first-class clients,full,full,stub,wont-fix,paint-per-platform,Mac remains the local Oppi host and owner-socket client. The URL stash does not authenticate or switch active servers; Mac-as-remote-client is an explicit non-goal.
host,Launch at login / Sparkle updates,n/a,n/a,full,none,mac-host-only,Mac General settings.
sessions,Open live chat (CSM + stream),full,full,full,none,OppiCore,Shared ChatSessionManager. Mac Unix socket; iOS paired connection.
sessions,Create / stop / delete session,full,full,full,none,OppiCore,Wired on Mac Home + workspace detail.
sessions,Import local Pi TUI sessions,full,full,full,none,paint-per-platform,Workspace stopped sections show importable Pi TUI rows and import into the selected worktree before opening the ordinary session view.
sessions,Incognito indicator,full,full,full,none,OppiCore,Mac inbox row shows eye.slash when presented.
sessions,Auto-name sessions setting,full,full,partial,wont-fix,OppiCore,Mac displays server-derived titles and identifies Server as the active title source. On-device and Off controls are explicit non-goals.
sessions,Quick Session (sheet / shortcut),full,full,missing,wont-fix,ios-device-only,"Mac uses normal workspace creation and guided control-session entry points. The iOS Quick Session sheet, Shortcut, and share intake are explicit non-goals."
sessions,Control / guided sessions,full,full,full,none,paint-per-platform,"Agents, Schedules, and Workspaces launch ordinary control-session chats. Retries reuse one frozen atomic request/key; revised drafts remain local for a new send."
composer,Send / stop / steer / follow-up queue,full,full,full,none,OppiCore,"Mac composer bar implements send, abort-turn, steer vs queue follow-up."
